Batch_ID,Quality_Result,Result_Binary
B001,Pass,1
B002,Fail,0
B003,Fail,0
B004,Pass,1
B005,Pass,1
B006,Pass,1
B007,Pass,1
B008,Fail,0
B009,Pass,1
B010,Fail,0
B011,Pass,1
B012,Fail,0
B013,Fail,0
B014,Pass,1
B015,Pass,1
B016,Pass,1
B017,Pass,1
B018,Pass,1
B019,Pass,1
B020,Pass,1
B021,Pass,1
B022,Pass,1
B023,Pass,1
B024,Pass,1
B025,Pass,1
B026,Fail,0
B027,Pass,1
B028,Pass,1
B029,Pass,1
B030,Pass,1
B031,Pass,1
B032,Pass,1
B033,Pass,1
B034,Fail,0
B035,Fail,0
B036,Fail,0
B037,Pass,1
B038,Pass,1
B039,Fail,0
B040,Pass,1
